buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.09,0.81,150,7169.11,17.93,-62.73,0.52
1.02,0.8,250,7157.46,17.92,-62.98,0.52
1.11,0.77,150,7150.11,17.92,-70.93,0.51
1.0,0.72,250,7125.31,17.9,-70.74,0.51
1.0,0.71,250,7125.31,17.9,-70.74,0.51
1.0,0.74,250,7125.31,17.9,-70.74,0.51
1.0,0.73,250,7125.31,17.9,-70.74,0.51
1.0,0.7,250,7125.31,17.9,-70.74,0.51
1.08,0.81,200,7084.77,17.88,-62.98,0.52
1.07,0.81,200,7084.77,17.88,-62.98,0.52
1.05,0.78,200,7080.01,17.87,-67.08,0.52
1.05,0.79,200,7080.01,17.87,-67.08,0.52
1.09,0.82,200,7067.49,17.87,-62.98,0.52
1.02,0.75,250,7061.51,17.86,-70.92,0.51
1.02,0.76,250,7061.51,17.86,-70.92,0.51
1.01,0.75,250,7061.51,17.86,-70.92,0.51
1.01,0.76,250,7061.51,17.86,-70.92,0.51
1.06,0.78,150,7059.54,17.86,-66.72,0.51
1.01,0.78,250,7051.22,17.86,-66.39,0.52
1.03,0.71,200,7043.86,17.85,-72.31,0.51
1.03,0.7,200,7043.86,17.85,-72.31,0.51
1.07,0.79,150,6964.49,17.8,-66.78,0.51
1.07,0.71,150,6957.48,17.8,-71.68,0.51
1.07,0.7,150,6957.48,17.8,-71.68,0.51
1.01,0.85,250,6956.04,17.79,-59.75,0.52
1.08,0.8,150,6951.52,17.79,-64.07,0.51
1.1,0.82,150,6943.09,17.79,-62.48,0.52
1.05,0.84,250,6919.24,17.77,-62.13,0.52
1.04,0.83,250,6919.24,17.77,-62.13,0.52
1.04,0.84,250,6919.24,17.77,-62.13,0.52
1.05,0.83,250,6919.24,17.77,-62.13,0.52
1.06,0.71,150,6906.84,17.76,-71.62,0.51
1.06,0.7,150,6906.84,17.76,-71.62,0.51
1.03,0.8,250,6863.81,17.73,-62.98,0.51
1.09,0.74,150,6828.93,17.71,-70.54,0.51
1.09,0.75,150,6828.93,17.71,-70.54,0.51
1.09,0.72,150,6828.93,17.71,-70.54,0.51
1.09,0.76,150,6828.93,17.71,-70.54,0.51
1.09,0.73,150,6828.93,17.71,-70.54,0.51
1.04,0.8,150,6826.0,17.71,-69.64,0.51
1.05,0.77,200,6800.29,17.69,-67.08,0.51
1.11,0.82,150,6780.09,17.68,-62.48,0.51
1.03,0.75,250,6773.69,17.68,-70.76,0.51
1.03,0.76,250,6773.69,17.68,-70.76,0.51
1.09,0.81,200,6751.12,17.66,-62.98,0.51
1.06,0.72,200,6748.2,17.66,-70.52,0.51
1.06,0.75,200,6748.2,17.66,-70.52,0.51
1.08,0.73,200,6748.2,17.66,-70.52,0.51
1.08,0.74,200,6748.2,17.66,-70.52,0.51
1.08,0.75,200,6748.2,17.66,-70.52,0.51
1.07,0.74,200,6748.2,17.66,-70.52,0.51
1.07,0.75,200,6748.2,17.66,-70.52,0.51
1.06,0.74,200,6748.2,17.66,-70.52,0.51
1.06,0.73,200,6748.2,17.66,-70.52,0.51
1.08,0.76,200,6748.2,17.66,-70.52,0.51
1.06,0.76,200,6748.2,17.66,-70.52,0.51
1.07,0.76,200,6748.2,17.66,-70.52,0.51
1.07,0.72,200,6748.2,17.66,-70.52,0.51
1.07,0.73,200,6748.2,17.66,-70.52,0.51
1.08,0.72,200,6748.2,17.66,-70.52,0.51
1.08,0.8,200,6734.19,17.65,-64.23,0.51
1.07,0.8,200,6734.19,17.65,-64.23,0.51
1.1,0.83,200,6724.77,17.64,-62.0,0.51
1.07,0.78,150,6690.32,17.62,-66.78,0.51
1.05,0.7,200,6650.42,17.59,-72.04,0.51
1.04,0.71,200,6650.42,17.59,-72.04,0.51
1.05,0.71,200,6650.42,17.59,-72.04,0.51
1.04,0.7,200,6650.42,17.59,-72.04,0.51
1.05,0.77,150,6644.29,17.59,-70.58,0.51
1.1,0.81,150,6633.05,17.58,-62.48,0.51
1.02,0.86,250,6631.01,17.58,-59.75,0.51
1.04,0.81,250,6607.76,17.57,-62.13,0.51
1.04,0.82,250,6607.76,17.57,-62.13,0.51
1.05,0.81,250,6607.76,17.57,-62.13,0.51
1.05,0.82,250,6607.76,17.57,-62.13,0.51
1.08,0.71,150,6572.41,17.54,-71.42,0.51
1.08,0.7,150,6572.41,17.54,-71.42,0.51
1.12,0.77,150,6571.88,17.54,-70.62,0.51
1.04,0.84,200,6557.12,17.53,-62.38,0.51
1.09,0.8,150,6522.38,17.51,-63.96,0.51
1.11,0.81,150,6478.0,17.48,-62.48,0.51
1.09,0.72,200,6435.26,17.45,-70.33,0.5
1.09,0.73,200,6435.26,17.45,-70.33,0.5
1.09,0.76,200,6435.26,17.45,-70.33,0.5
1.09,0.75,200,6435.26,17.45,-70.33,0.5
1.09,0.74,200,6435.26,17.45,-70.33,0.5
1.09,0.8,200,6418.08,17.44,-64.23,0.51
1.1,0.82,200,6392.42,17.42,-62.83,0.51
1.02,0.79,250,6374.84,17.41,-64.26,0.51
1.01,0.77,250,6372.63,17.4,-66.75,0.51
1.02,0.79,200,6366.01,17.4,-66.48,0.51
1.04,0.76,250,6348.87,17.39,-70.5,0.5
1.05,0.76,250,6348.87,17.39,-70.5,0.5
1.05,0.75,250,6348.87,17.39,-70.5,0.5
1.04,0.75,250,6348.87,17.39,-70.5,0.5
1.02,0.78,200,6339.24,17.38,-66.47,0.51
1.1,0.76,150,6325.83,17.37,-70.23,0.5
1.1,0.72,150,6325.83,17.37,-70.23,0.5
1.1,0.73,150,6325.83,17.37,-70.23,0.5
1.1,0.74,150,6325.83,17.37,-70.23,0.5
1.1,0.75,150,6325.83,17.37,-70.23,0.5
1.03,0.85,200,6302.19,17.35,-62.62,0.51
1.03,0.86,250,6265.66,17.33,-60.01,0.51
1.11,0.83,200,6247.24,17.32,-61.9,0.51
1.12,0.82,150,6231.1,17.3,-62.4,0.51
1.11,0.74,150,6179.91,17.27,-70.13,0.5
1.11,0.75,150,6179.91,17.27,-70.13,0.5
1.11,0.76,150,6179.91,17.27,-70.13,0.5
1.11,0.72,150,6179.91,17.27,-70.13,0.5
1.11,0.73,150,6179.91,17.27,-70.13,0.5
1.03,0.82,150,6179.0,17.27,-73.04,0.51
1.13,0.77,150,6172.82,17.26,-70.37,0.5
1.09,0.7,150,6170.77,17.26,-71.25,0.5
1.09,0.71,150,6170.77,17.26,-71.25,0.5
1.05,0.79,150,6159.83,17.25,-66.59,0.5
1.03,0.79,250,6116.3,17.22,-64.13,0.5
1.1,0.81,200,6109.05,17.22,-62.83,0.5
1.02,0.73,250,6103.66,17.21,-70.11,0.5
1.02,0.72,250,6103.66,17.21,-70.11,0.5
1.01,0.73,250,6103.66,17.21,-70.11,0.5
1.01,0.74,250,6103.66,17.21,-70.11,0.5
1.01,0.72,250,6103.66,17.21,-70.11,0.5
1.01,0.7,250,6103.66,17.21,-70.11,0.5
1.02,0.7,250,6103.66,17.21,-70.11,0.5
1.01,0.71,250,6103.66,17.21,-70.11,0.5
1.02,0.71,250,6103.66,17.21,-70.11,0.5
1.02,0.74,250,6103.66,17.21,-70.11,0.5
1.06,0.71,200,6098.25,17.21,-71.63,0.5
1.06,0.7,200,6098.25,17.21,-71.63,0.5
1.08,0.71,200,6098.25,17.21,-71.63,0.5
1.07,0.71,200,6098.25,17.21,-71.63,0.5
1.08,0.7,200,6098.25,17.21,-71.63,0.5
1.07,0.7,200,6098.25,17.21,-71.63,0.5
1.02,0.78,250,6096.66,17.21,-64.23,0.5
1.06,0.83,150,6076.71,17.19,-62.77,0.5
1.06,0.75,250,6063.81,17.18,-70.3,0.5
1.06,0.76,250,6063.81,17.18,-70.3,0.5
1.07,0.75,250,6063.81,17.18,-70.3,0.5
1.07,0.76,250,6063.81,17.18,-70.3,0.5
1.0,0.83,200,6062.79,17.18,-72.2,0.51
1.06,0.83,250,6041.08,17.17,-62.0,0.5
1.07,0.84,250,6041.08,17.17,-62.0,0.5
1.06,0.84,250,6041.08,17.17,-62.0,0.5
1.07,0.83,250,6041.08,17.17,-62.0,0.5
1.1,0.8,150,6038.51,17.16,-63.69,0.5
1.05,0.84,200,6026.3,17.16,-62.38,0.5
1.02,0.85,250,6012.55,17.15,-59.75,0.5
1.04,0.8,250,5981.51,17.12,-62.98,0.5
1.05,0.8,250,5981.51,17.12,-62.98,0.5
1.12,0.81,150,5955.73,17.1,-62.4,0.5
1.02,0.84,200,5946.36,17.1,-61.89,0.5
1.11,0.82,200,5943.1,17.09,-62.73,0.5
1.11,0.8,150,5898.47,17.06,-63.69,0.5
1.03,0.73,250,5859.15,17.03,-69.94,0.5
1.03,0.74,250,5859.15,17.03,-69.94,0.5
1.03,0.72,250,5859.15,17.03,-69.94,0.5
1.03,0.71,250,5859.15,17.03,-69.94,0.5
1.03,0.7,250,5859.15,17.03,-69.94,0.5
1.08,0.76,250,5857.96,17.03,-70.16,0.5
1.08,0.75,250,5857.96,17.03,-70.16,0.5
1.09,0.76,250,5857.96,17.03,-70.16,0.5
1.09,0.75,250,5857.96,17.03,-70.16,0.5
1.13,0.82,150,5852.26,17.03,-62.37,0.5
1.03,0.78,250,5850.1,17.02,-64.23,0.5
1.02,0.77,200,5843.37,17.02,-67.49,0.5
1.05,0.78,150,5837.47,17.01,-66.95,0.5
1.09,0.83,250,5833.44,17.01,-61.89,0.5
1.09,0.84,250,5833.44,17.01,-61.89,0.5
1.08,0.84,250,5833.44,17.01,-61.89,0.5
1.08,0.83,250,5833.44,17.01,-61.89,0.5
1.1,0.73,200,5831.84,17.01,-69.92,0.5
