buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.04,0.75,200,32557.59,24.95,-85.26,0.61
1.04,0.76,200,32557.59,24.95,-85.26,0.61
1.05,0.75,200,32557.59,24.95,-85.26,0.61
1.05,0.73,200,32557.59,24.95,-85.26,0.61
1.04,0.73,200,32557.59,24.95,-85.26,0.61
1.04,0.74,200,32557.59,24.95,-85.26,0.61
1.04,0.72,200,32557.59,24.95,-85.26,0.61
1.05,0.72,200,32557.59,24.95,-85.26,0.61
1.06,0.78,150,32358.62,24.92,-81.49,0.61
1.07,0.79,150,32282.69,24.91,-81.49,0.61
1.1,0.82,150,32150.6,24.89,-78.19,0.61
1.08,0.8,150,32133.58,24.88,-79.21,0.61
1.11,0.77,150,32113.69,24.88,-81.73,0.61
1.1,0.83,200,32063.08,24.87,-76.1,0.61
1.08,0.73,150,31837.62,24.84,-85.02,0.61
1.08,0.75,150,31837.62,24.84,-85.02,0.61
1.08,0.74,150,31837.62,24.84,-85.02,0.61
1.08,0.72,150,31837.62,24.84,-85.02,0.61
1.08,0.76,150,31837.62,24.84,-85.02,0.61
1.01,0.76,250,31728.08,24.82,-81.66,0.61
1.02,0.75,250,31728.08,24.82,-81.66,0.61
1.01,0.75,250,31728.08,24.82,-81.66,0.61
1.02,0.76,250,31728.08,24.82,-81.66,0.61
1.03,0.8,250,31697.09,24.82,-77.76,0.61
1.05,0.77,200,31431.02,24.78,-81.79,0.61
1.03,0.71,200,31416.92,24.78,-86.78,0.61
1.03,0.7,200,31416.92,24.78,-86.78,0.61
1.04,0.82,250,31350.93,24.77,-75.5,0.61
1.05,0.82,250,31350.93,24.77,-75.5,0.61
1.05,0.81,250,31350.93,24.77,-75.5,0.61
1.04,0.81,250,31350.93,24.77,-75.5,0.61
1.0,0.73,250,31253.83,24.75,-85.26,0.61
1.0,0.72,250,31253.83,24.75,-85.26,0.61
1.0,0.7,250,31253.83,24.75,-85.26,0.61
1.0,0.71,250,31253.83,24.75,-85.26,0.61
1.0,0.74,250,31253.83,24.75,-85.26,0.61
1.11,0.82,150,31228.4,24.75,-78.47,0.61
1.07,0.8,200,31227.83,24.75,-79.55,0.61
