buy,sell,total_ret,cagr,max_dd,sharpe
1.13,0.75,3740.35,25.63,-64.38,0.7
1.13,0.71,3740.35,25.63,-64.38,0.7
1.13,0.73,3740.35,25.63,-64.38,0.7
1.13,0.74,3740.35,25.63,-64.38,0.7
1.06,0.8,3727.47,25.61,-54.84,0.71
1.05,0.78,3651.88,25.45,-59.7,0.7
1.05,0.79,3651.88,25.45,-59.7,0.7
1.08,0.82,3615.55,25.37,-53.07,0.71
1.07,0.82,3615.55,25.37,-53.07,0.71
1.08,0.83,3615.55,25.37,-53.07,0.71
1.09,0.82,3615.55,25.37,-53.07,0.71
1.07,0.83,3615.55,25.37,-53.07,0.71
1.09,0.83,3615.55,25.37,-53.07,0.71
1.05,0.77,3535.56,25.2,-60.79,0.7
1.07,0.81,3484.64,25.09,-54.64,0.7
1.09,0.81,3484.64,25.09,-54.64,0.7
1.08,0.81,3484.64,25.09,-54.64,0.7
1.08,0.8,3468.45,25.06,-54.84,0.7
1.09,0.8,3468.45,25.06,-54.84,0.7
1.07,0.8,3468.45,25.06,-54.84,0.7
1.1,0.83,3398.99,24.9,-52.68,0.7
1.1,0.82,3398.99,24.9,-52.68,0.7
1.11,0.83,3288.39,24.65,-52.46,0.7
1.11,0.82,3288.39,24.65,-52.46,0.7
1.06,0.79,3279.87,24.63,-59.7,0.69
1.06,0.78,3279.87,24.63,-59.7,0.69
1.1,0.81,3278.62,24.63,-54.22,0.7
1.1,0.8,3263.76,24.6,-54.41,0.7
1.0,0.84,3184.62,24.41,-51.14,0.7
1.12,0.83,3184.43,24.41,-52.24,0.7
1.13,0.82,3184.43,24.41,-52.24,0.7
1.13,0.83,3184.43,24.41,-52.24,0.7
1.12,0.82,3184.43,24.41,-52.24,0.7
1.06,0.77,3179.49,24.4,-60.79,0.68
1.11,0.81,3173.41,24.39,-53.99,0.69
1.01,0.84,3166.39,24.37,-51.34,0.7
1.11,0.8,3159.21,24.35,-54.17,0.69
1.02,0.84,3122.43,24.26,-51.0,0.7
1.12,0.81,3074.5,24.15,-53.75,0.69
1.13,0.81,3074.5,24.15,-53.75,0.69
1.09,0.79,3062.46,24.12,-59.7,0.68
1.08,0.79,3062.46,24.12,-59.7,0.68
1.07,0.79,3062.46,24.12,-59.7,0.68
1.07,0.78,3062.46,24.12,-59.7,0.68
1.09,0.78,3062.46,24.12,-59.7,0.68
1.08,0.78,3062.46,24.12,-59.7,0.68
1.13,0.8,3060.93,24.11,-53.94,0.69
1.12,0.8,3060.93,24.11,-53.94,0.69
1.03,0.84,3044.75,24.07,-50.5,0.7
1.08,0.77,2971.4,23.89,-60.79,0.67
1.09,0.77,2971.4,23.89,-60.79,0.67
1.07,0.77,2971.4,23.89,-60.79,0.67
1.04,0.84,2946.43,23.83,-50.15,0.69
1.1,0.78,2890.46,23.68,-59.2,0.67
1.1,0.79,2890.46,23.68,-59.2,0.67
1.1,0.77,2806.74,23.46,-60.27,0.67
1.11,0.79,2802.61,23.45,-58.91,0.67
1.11,0.78,2802.61,23.45,-58.91,0.67
1.05,0.84,2766.91,23.36,-49.96,0.69
1.11,0.77,2722.63,23.24,-59.98,0.66
1.12,0.78,2719.99,23.23,-58.63,0.67
1.12,0.79,2719.99,23.23,-58.63,0.67
1.13,0.78,2719.99,23.23,-58.63,0.67
1.13,0.79,2719.99,23.23,-58.63,0.67
1.13,0.77,2643.52,23.02,-59.68,0.66
1.12,0.77,2643.52,23.02,-59.68,0.66
1.14,0.73,2528.76,22.69,-60.25,0.67
1.14,0.75,2528.76,22.69,-60.25,0.67
1.14,0.72,2528.76,22.69,-60.25,0.67
1.14,0.76,2528.76,22.69,-60.25,0.67
1.14,0.74,2528.76,22.69,-60.25,0.67
1.14,0.71,2528.76,22.69,-60.25,0.67
1.06,0.84,2490.45,22.58,-49.89,0.67
1.0,0.85,2260.82,21.87,-48.26,0.65
1.01,0.85,2249.9,21.83,-48.49,0.65
1.02,0.85,2223.53,21.75,-48.1,0.65
1.07,0.84,2214.06,21.72,-49.39,0.65
1.03,0.85,2176.83,21.59,-47.58,0.64
1.0,0.89,2126.81,21.42,-47.98,0.66
1.14,0.82,2126.62,21.42,-49.78,0.67
1.14,0.83,2126.62,21.42,-49.78,0.67
1.04,0.85,2117.63,21.39,-47.27,0.64
1.01,0.89,2116.86,21.39,-47.98,0.66
1.02,0.89,2092.83,21.31,-47.98,0.66
1.14,0.81,2066.33,21.21,-51.09,0.66
1.14,0.8,2058.91,21.19,-51.25,0.66
1.08,0.84,2015.97,21.04,-52.27,0.64
